,bed,bath,acre_lot,state,house_size,price
460,3.0,3.0,2.58,0,1760.0,489900.0
461,4.0,3.0,0.41,0,2590.0,579900.0
462,3.0,1.0,0.51,0,960.0,254900.0
463,3.0,2.0,0.12,0,1531.0,489900.0
464,5.0,2.0,0.27,0,1749.0,159900.0
465,2.0,2.0,0.28,0,1206.0,159900.0
466,4.0,1.0,1.06,0,1243.0,279900.0
467,3.0,2.0,0.14,0,1728.0,499000.0
468,5.0,2.0,0.51,0,2264.0,299900.0
469,8.0,5.0,0.5,0,3100.0,349900.0
470,3.0,1.0,0.8,0,1040.0,309000.0
471,3.0,1.0,0.46,0,909.0,319000.0
472,3.0,3.0,0.08,0,2182.0,159900.0
473,3.0,2.0,1.54,0,1630.0,525000.0
474,13.0,7.0,0.2,0,4233.0,324900.0
475,3.0,2.0,1.08,0,1463.0,346000.0
476,4.0,2.0,0.56,0,1523.0,324900.0
477,3.0,1.0,0.51,0,960.0,254900.0
478,2.0,2.0,0.51,0,2000.0,397000.0
479,3.0,3.0,2.22,0,2762.0,425000.0
480,3.0,2.0,0.54,0,1336.0,325000.0
481,4.0,6.0,2.0,0,2648.0,564900.0
482,3.0,2.0,0.56,0,1176.0,299900.0
483,3.0,2.0,0.53,0,880.0,299900.0
484,4.0,5.0,1.02,0,2396.0,500000.0
485,3.0,2.0,2.0,0,1950.0,689900.0
486,3.0,2.0,1.38,0,1683.0,535000.0
487,3.0,2.0,1.48,0,1683.0,526000.0
488,3.0,2.0,1.38,0,2298.0,689900.0
489,3.0,2.0,0.52,0,2039.0,442500.0
490,4.0,2.0,0.59,0,2394.0,439500.0
491,9.0,13.0,28.0,0,9386.0,1495000.0
492,4.0,2.0,0.43,0,1782.0,445000.0
493,5.0,4.0,0.72,0,4468.0,995000.0
494,4.0,5.0,7.81,0,7000.0,1295000.0
495,4.0,2.0,0.4,0,2856.0,575000.0
496,6.0,3.0,2.0,0,3060.0,599000.0
497,5.0,4.0,0.72,0,3100.0,948000.0
498,3.0,2.0,10.0,0,1707.0,895000.0
499,3.0,3.0,1.4,0,2234.0,349900.0
500,1.0,1.0,6.4,0,1032.0,99999.0
501,3.0,1.0,0.09,0,1303.0,150000.0
502,9.0,3.0,0.13,0,3511.0,199900.0
503,4.0,8.0,12.1,0,14240.0,2995000.0
504,1.0,1.0,0.47,0,608.0,160000.0
505,1.0,1.0,5.46,0,600.0,144000.0
506,2.0,1.0,2.0,0,1600.0,350000.0
507,4.0,2.0,0.33,0,2246.0,180000.0
508,3.0,1.0,0.17,0,1180.0,139900.0
509,3.0,2.0,0.16,0,1352.0,209000.0
510,3.0,3.0,6.04,0,2717.0,595000.0
511,2.0,2.0,0.92,0,1723.0,389900.0
512,3.0,1.0,0.14,0,1072.0,105000.0
513,2.0,2.0,2.03,0,1655.0,374900.0
514,4.0,3.0,3.8,0,2768.0,459900.0
515,3.0,1.0,0.31,0,1152.0,231500.0
516,3.0,2.0,0.5,0,1756.0,324900.0
517,2.0,1.0,3.0,0,980.0,149900.0
518,4.0,2.0,17.84,0,2196.0,380000.0
519,5.0,3.0,0.15,0,2549.0,225000.0
520,3.0,3.0,0.84,0,2495.0,399900.0
521,6.0,2.0,0.23,0,2550.0,229000.0
522,4.0,2.0,0.21,0,1200.0,209900.0
523,3.0,2.0,0.51,0,1541.0,300000.0
524,3.0,2.0,1.92,0,1643.0,474900.0
525,9.0,6.0,0.19,0,5364.0,399900.0
526,3.0,3.0,0.52,0,2191.0,355000.0
527,3.0,2.0,0.14,0,1728.0,499000.0
528,3.0,1.0,0.7,0,1134.0,259900.0
529,3.0,1.0,0.4,0,1529.0,265000.0
530,3.0,2.0,0.12,0,1531.0,489900.0
531,4.0,3.0,0.41,0,2590.0,579900.0
532,3.0,1.0,0.24,0,1074.0,224900.0
533,3.0,2.0,1.54,0,1630.0,525000.0
534,4.0,3.0,0.46,0,2908.0,629900.0
535,18.0,12.0,0.29,0,8428.0,697000.0
